imdb_title_id,title,director
tt0008891,L'uccello blu,Maurice Tourneur
tt0008930,Broadway Love,Ida May Park
tt0008950,Sangue gitano,Ernst Lubitsch
tt0009014,La decima sinfonia,Abel Gance
tt0009062,L'allegra prigione,Ernst Lubitsch
tt0009086,The Forbidden City,Sidney Franklin
tt0009150,Cuori del mondo,D.W. Griffith
tt0009153,Indemoniato,John Ford
tt0009241,Johanna Enlists,William Desmond Taylor
tt0009326,M'Liss,Marshall Neilan
tt0009356,The Married Virgin,Joseph Maxwell
tt0009369,Mickey,"""F. Richard Jones, James Young"""
tt0009440,Old Wives for New,Cecil B. DeMille
tt0009475,A Pair of Silk Stockings,Walter Edwards
tt0009559,A Romance of Happy Valley,D.W. Griffith
tt0009608,Shifting Sands,Albert Parker
tt0009611,Charlot soldato,Charles Chaplin
tt0009652,Stella Maris,Marshall Neilan
tt0009682,Tarzan of the Apes,Scott Sidney
tt0009701,Tih Minh,Louis Feuillade
tt0009737,The Unbeliever,Alan Crosland
tt0009796,The Whispering Chorus,Cecil B. DeMille
tt0009878,Anders als die Andern,Richard Oswald
tt0009892,Ravished Armenia,Oscar Apfel
tt0009893,La principessa delle ostriche,Ernst Lubitsch
tt0009894,El automóvil gris,Enrique Rosas
tt0009900,Il ritorno al paradiso terrestre,David Hartford
tt0009915,Behind the Door,Irvin Willat
tt0009937,Mariti ciechi,Erich von Stroheim
tt0009968,Giglio infranto,D.W. Griffith
tt0009976,The Busher,Jerome Storm
tt0010040,Daddy-Long-Legs,Marshall Neilan
tt0010060,The Delicious Little Devil,Robert Z. Leonard
tt0010071,Don't Change Your Husband,Cecil B. DeMille
tt0010103,Eyes of Youth,Albert Parker
tt0010137,"""For Better, for Worse""",Cecil B. DeMille
tt0010162,Getting Mary Married,Allan Dwan
tt0010193,The Greatest Question,D.W. Griffith
tt0010195,The Grim Game,Irvin Willat
tt0010208,Harakiri,Fritz Lang
tt0010219,Hawthorne of the U.S.A.,James Cruze
tt0010227,Heart o' the Hills,"""Joseph De Grasse, Sidney Franklin"""
tt0010247,Il tesoro di Arne,Mauritz Stiller
tt0010267,The Hoodlum,Sidney Franklin
tt0010281,Non vorrei essere un uomo,Ernst Lubitsch
tt0010298,Ingmarssönerna,Victor Sjöström
tt0010307,Per la patria,Abel Gance
tt0010323,Il gabinetto del dottor Caligari,Robert Wiene
tt0010418,Male and Female,Cecil B. DeMille
tt0010456,Meyer il berlinese,Ernst Lubitsch
tt0010466,The Miracle Man,George Loane Tucker
tt0010484,The Mother and the Law,D.W. Griffith
tt0010559,Die Pest in Florenz,Otto Rippert
tt0010598,Præsidenten,Carl Theodor Dreyer
tt0010600,La bambola di carne,Ernst Lubitsch
tt0010635,The Roaring Road,James Cruze
tt0010662,Scarlet Days,D.W. Griffith
tt0010680,The Sentimental Bloke,Raymond Longford
tt0010726,"""Il lago d'oro, ovvero I ragni""",Fritz Lang
tt0010755,Il canto del fiore rosso,Mauritz Stiller
tt0010806,Amore sulle labbra,D.W. Griffith
tt0010821,Un affare misterioso,Richard Oswald
tt0010844,Victory,Maurice Tourneur
tt0010853,Wagon Tracks,Lambert Hillyer
tt0010879,Quando le nuvole volano via,Victor Fleming
tt0010890,The Wicked Darling,Tod Browning
tt0010925,Yankee Doodle in Berlin,F. Richard Jones
tt0010953,Algol - Tragödie der Macht,Hans Werckmeister
tt0010962,Anna Bolena,Ernst Lubitsch
tt0010964,April Folly,Robert Z. Leonard
tt0010969,L'atlantide,Jacques Feyder
tt0011000,Pagine dal libro di Satana,Carl Theodor Dreyer
tt0011130,Dr. Jekyll e Mr. Hyde,John S. Robertson
tt0011157,Erotikon,Mauritz Stiller
tt0011173,Fante-Anne,Rasmus Breistein
tt0011193,The Flapper,Alan Crosland
tt0011217,Il cammino nella notte,F.W. Murnau
tt0011221,Genuine,Robert Wiene
tt0011237,Il Golem - Come venne al mondo,"""Carl Boese, Paul Wegener"""
tt0011267,Headin' Home,Lawrence C. Windom
tt0011294,L'Hirondelle et la Mésange,André Antoine
tt0011302,La giustizia del mare,Marcel L'Herbier
tt0011317,Humoresque,Frank Borzage
tt0011344,L'uomo dal coltello a serramanico,King Vidor
tt0011358,Just Pals,John Ford
tt0011369,Der Klosterjäger,Franz Osten
tt0011370,Klostret i Sendomir,Victor Sjöström
tt0011371,Due sorelle,Ernst Lubitsch
tt0011387,The Last of the Mohicans,"""Clarence Brown, Maurice Tourneur"""
tt0011414,The Love Expert,David Kirkland
tt0011415,The Love Flower,D.W. Griffith
tt0011439,Il segno di Zorro,Fred Niblo
tt0011440,Markens grøde,Gunnar Sommerfeldt
tt0011474,Un pulcino nella stoppa,Victor Fleming
tt0011513,Nomads of the North,David Hartford
tt0011588,Pollyanna,Paul Powell
tt0011607,La vedova del pastore,Carl Theodor Dreyer
tt0011623,The Restless Sex,"""Leon D'Usseau, Robert Z. Leonard"""
tt0011641,Romeo e giulietta sulla neve,Ernst Lubitsch
tt0011647,The Round-Up,George Melford
tt0011652,The Saphead,"""Herbert Blaché, Winchell Smith"""
tt0011679,Sex,Fred Niblo
tt0011716,Something to Think About,Cecil B. DeMille
tt0011723,"""Die Spinnen, 2. Teil - Das Brillantenschiff""",Fritz Lang
tt0011741,Suds,John Francis Dillon
tt0011742,Sumurum,Ernst Lubitsch
tt0011753,Terror Island,James Cruze
tt0011779,The Toll Gate,Lambert Hillyer
tt0011833,Von morgens bis mitternachts,Karl Heinz Martin
tt0011837,Das wandernde Bild,Fritz Lang
tt0011841,Agonia sui ghiacci,D.W. Griffith
tt0011865,Why Change Your Wife?,Cecil B. DeMille
tt0011870,Within Our Gates,Oscar Micheaux
tt0011904,The Ace of Hearts,Wallace Worsley
tt0011908,Adventures of Tarzan,"""Robert F. Hill, Scott Sidney"""
tt0011909,"""Fragilità, sei femmina!""",Cecil B. DeMille
tt0011948,Be My Wife,Max Linder
tt0011960,Lo scoiattolo,Ernst Lubitsch
tt0011979,The Blot,Lois Weber
tt0012016,Buried Treasure,George D. Baker
tt0012027,Camille,Ray C. Smallwood
tt0012068,La commedia umana,Rex Ingram
tt0012122,Dream Street,D.W. Griffith
tt0012125,Ducks and Drakes,Maurice Campbell
tt0012134,Eldorado,Marcel L'Herbier
tt0012136,Enchantment,Robert G. Vignola
tt0012187,Forbidden Fruit,Cecil B. DeMille
tt0012190,I quattro cavalieri dell'Apocalisse,Rex Ingram
tt0012249,Amleto,"""Svend Gade, Heinz Schall"""
tt0012281,Hintertreppe,"""Leopold Jessner, Paul Leni"""
tt0012313,Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,Joe May
tt0012314,Das indische Grabmal erster Teil - Die Sendung des Yoghi,Joe May
tt0012334,Johan,Mauritz Stiller
tt0012349,Il monello,Charles Chaplin
tt0012364,Il carrettiere della morte,Victor Sjöström
tt0012382,Leap Year,"""James Cruze, Roscoe 'Fatty' Arbuckle"""
tt0012397,Little Lord Fauntleroy,"""Alfred E. Green, Jack Pickford"""
tt0012408,The Love Light,Frances Marion
tt0012465,Miss Lulu Bett,William C. de Mille
tt0012486,My Boy,"""Albert Austin, Victor Heerman"""
tt0012494,Destino,Fritz Lang
tt0012513,The Nut,Theodore Reed
tt0012532,Le due orfanelle,D.W. Griffith
tt0012538,Outside the Law,Tod Browning
tt0012631,Rojô no reikion,Minoru Murata
tt0012642,A Sailor-Made Man,Fred C. Newmeyer
tt0012645,Sappho,Dimitri Buchowetzki
tt0012650,Scherben,Lupu Pick
tt0012651,Il castello di Vogelod,F.W. Murnau
tt0012675,Lo sceicco,George Melford
tt0012699,The Sky Pilot,King Vidor
tt0012745,La terre,André Antoine
tt0012752,The Three Musketeers,Fred Niblo
tt0012755,Through the Back Door,"""Alfred E. Green, Jack Pickford"""
tt0012763,La pazienza di Davide,Henry King
tt0012769,Too Wise Wives,Lois Weber
tt0012806,Vier um die Frau,Fritz Lang
tt0012928,Beauty's Worth,Robert G. Vignola
tt0012938,L'età di amare,Sam Wood
tt0012952,Sangue e arena,"""Fred Niblo, Dorothy Arzner"""
tt0012973,La terra che brucia,F.W. Murnau
tt0012975,The Bride's Play,George Terwilliger
tt0013033,Crainquebille,Jacques Feyder
tt0013059,Der var engang,Carl Theodor Dreyer
tt0013075,Dr. Jack,"""Fred C. Newmeyer, Sam Taylor"""
tt0013085,Down to the Sea in Ships,Elmer Clifton
tt0013122,La femme de nulle part,Louis Delluc
tt0013134,Flesh and Blood,Irving Cummings
tt0013140,Femmine folli,Erich von Stroheim
tt0013169,Gli stigmatizzati,Carl Theodor Dreyer
tt0013201,Il talismano della nonna,Fred C. Newmeyer
tt0013223,The Headless Horseman,Edward D. Venturini
tt0013332,Lorna Doone,Maurice Tourneur
tt0013367,The Man from Beyond,Burton L. King
tt0013372,Manslaughter,Cecil B. DeMille
tt0013386,Donne viennesi,"""Rupert Julian, Erich von Stroheim"""
tt0013402,Monte Cristo,Emmett J. Flynn
tt0013404,Moran of the Lady Letty,George Melford
tt0013428,Nathan il saggio,Manfred Noa
tt0013442,Nosferatu - Il vampiro,F.W. Murnau
tt0013450,Oliver Twist,Frank Lloyd
tt0013469,Othello,Dimitri Buchowetzki
tt0013496,Fantasma,F.W. Murnau
tt0013515,The Prisoner of Zenda,Rex Ingram
tt0013556,Robin Hood,Allan Dwan
tt0013571,Salomé,"""Charles Bryant, Alla Nazimova"""
tt0013574,Saturday Night,Cecil B. DeMille
tt0013579,Ombre ammonitrici,Arthur Robison
tt0013590,The Seventh Day,Henry King
tt0013592,Shadows,Tom Forman
tt0013597,Sherlock Holmes,Albert Parker
tt0013607,Sky High,Lynn Reynolds
tt0013619,Sodom und Gomorrha,Michael Curtiz
tt0013662,Tess of the Storm Country,John S. Robertson
tt0013674,The Three Must-Get-Theres,Max Linder
tt0013688,The Toll of the Sea,Chester M. Franklin
tt0013704,The Trap,Robert Thornby
tt0013705,Trapped by the Mormons,Harry B. Parkinson
tt0013741,Das Weib des Pharao,Ernst Lubitsch
tt0013750,When Knighthood Was in Flower,Robert G. Vignola
tt0013802,The Young Rajah,Phil Rosen
tt0013830,Das alte Gesetz,Ewald André Dupont
tt0013909,Ladro d'amore,John Ford
tt0013933,Cuore fedele,Jean Epstein
tt0013951,I pionieri,James Cruze
tt0014029,The Extra Girl,F. Richard Jones
tt0014108,Il vecchio castello,Mauritz Stiller
tt0014109,La leggenda di Gosta Berlings,Mauritz Stiller
tt0014112,Haldane of the Secret Service,Harry Houdini
tt0014142,Il gobbo di Notre Dame,Wallace Worsley
tt0014205,Little Old New York,Sidney Olcott
tt0014341,Accidenti che ospitalità!,"""John G. Blystone, Buster Keaton"""
tt0014358,Il pellegrino,Charles Chaplin
tt0014397,Raskolnikow,Robert Wiene
tt0014416,Rosita,"""Ernst Lubitsch, Raoul Walsh"""
tt0014417,La rosa sulle rotaie,Abel Gance
tt0014429,Preferisco l'ascensore,"""Fred C. Newmeyer, Sam Taylor"""
tt0014440,Scaramouche,Rex Ingram
tt0014446,Il tesoro,Georg Wilhelm Pabst
tt0014463,The Shock,Lambert Hillyer
